City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
212,Tiznit,MA,2022-09-28 02:07:30,29.5833,-9.5,66.54,60,93,1.9
213,Juuru,EE,2022-09-28 02:07:30,59.0597,24.956,40.19,96,7,5.73
214,Nautla,MX,2022-09-28 02:07:31,20.2167,-96.7833,75.65,87,72,6.26
215,Victoria,HK,2022-09-28 02:02:56,22.2855,114.1577,87.96,72,100,15.01
216,Palmas Bellas,PA,2022-09-28 02:07:32,9.2319,-80.0867,81.34,88,92,2.86
217,Dwarka,IN,2022-09-28 02:07:32,22.2394,68.9678,80.22,75,16,8.03
218,Parrita,CR,2022-09-28 02:07:33,9.5201,-84.3225,76.8,91,100,2.82
219,Dukat,RU,2022-09-28 02:07:33,62.55,155.55,33.76,69,88,2.57
220,Pestovo,RU,2022-09-28 02:07:34,58.5938,35.8024,44.73,96,100,6.46
221,Lagoa,PT,2022-09-28 02:07:34,39.05,-27.9833,69.24,76,62,21.3
222,Moshenskoye,RU,2022-09-28 02:07:35,58.5102,34.5911,41.83,98,93,5.77
223,Marau,BR,2022-09-28 02:03:07,-28.4492,-52.2,55.13,86,7,10.51
224,Tigil,RU,2022-09-28 02:08:36,57.8,158.6667,48.72,71,100,8.79
225,Havre-Saint-Pierre,CA,2022-09-28 02:08:37,50.2334,-63.5986,53.96,94,100,3.44
226,Katsuura,JP,2022-09-28 02:08:38,35.1333,140.3,75.81,56,4,14.9
227,Torit,SS,2022-09-28 02:08:38,4.4133,32.5678,70.18,78,47,2.42
228,Eberswalde,DE,2022-09-28 02:08:39,52.8349,13.8195,48.31,80,99,7.76
229,Olafsvik,IS,2022-09-28 02:08:40,64.8945,-23.7142,45.28,65,100,8.99
230,Awjilah,LY,2022-09-28 02:08:40,29.1081,21.2869,83.12,30,0,9.31
231,Santa Isabel Do Rio Negro,BR,2022-09-28 02:08:41,-0.4139,-65.0192,79.92,69,97,3.29
232,Waingapu,ID,2022-09-28 02:08:41,-9.6567,120.2641,86.07,55,11,7.45
233,Winnemucca,US,2022-09-28 02:08:42,40.973,-117.7357,75.25,17,0,8.05
234,Tessalit,ML,2022-09-28 02:08:42,20.1986,1.0114,90.97,15,67,7.47
235,Binzhou,CN,2022-09-28 02:08:43,37.3667,118.0167,77.32,45,97,5.3
236,Gat,IL,2022-09-28 02:08:44,31.61,34.7642,77.4,62,0,2.75
237,Torbay,CA,2022-09-28 02:08:44,47.6666,-52.7314,66.16,91,100,3.0
238,Samana,DO,2022-09-28 02:08:45,19.2056,-69.3369,78.71,88,11,7.83
239,Lyubech,UA,2022-09-28 02:08:45,51.7026,30.6569,49.87,96,100,5.14
240,Gayny,RU,2022-09-28 02:08:46,60.3071,54.3241,26.31,79,2,3.02
241,Taseyevo,RU,2022-09-28 02:08:47,57.2169,94.8978,34.83,99,100,2.21
242,Hay River,CA,2022-09-28 02:08:47,60.8156,-115.7999,63.81,50,68,6.33
243,Rabo De Peixe,PT,2022-09-28 02:08:48,37.8,-25.5833,67.28,83,40,9.22
244,Kijang,KR,2022-09-28 02:08:49,35.2442,129.2139,73.18,68,100,10.31
245,Maumere,ID,2022-09-28 02:08:49,-8.6199,122.2111,84.65,68,49,2.06
246,Tilichiki,RU,2022-09-28 02:08:50,60.4667,166.1,40.26,69,100,2.53
247,Alice Springs,AU,2022-09-28 02:04:52,-23.7,133.8833,72.21,35,0,12.66
248,Upernavik,GL,2022-09-28 02:08:51,72.7868,-56.1549,32.56,100,100,3.4
249,Esperance,AU,2022-09-28 02:08:52,-33.8667,121.9,64.72,51,2,8.59
250,Wiarton,CA,2022-09-28 02:08:52,44.7407,-81.1332,54.97,89,100,15.17
251,Arica,CL,2022-09-28 02:08:05,-18.475,-70.3042,59.23,72,100,3.44
