City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
166,Rogovatoye,RU,51.23,38.3818,67.77,63,100,11.12,overcast clouds
167,Talnakh,RU,69.4865,88.3972,28.08,96,100,6.15,light snow
168,Juneau,US,58.3019,-134.4197,55.4,95,100,29.93,moderate rain
169,Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,80.78,61,43,13.06,scattered clouds
170,New Norfolk,AU,-42.7826,147.0587,45.72,65,8,2.82,clear sky
171,Fairbanks,US,64.8378,-147.7164,42.82,91,20,0.0,mist
172,Bondoukou,CI,8.0333,-2.8,80.51,78,58,1.54,moderate rain
173,Clyde River,CA,70.4692,-68.5914,25.38,62,1,10.76,clear sky
174,Chicama,PE,-7.8447,-79.1469,57.74,74,82,5.57,broken clouds
175,Honningsvag,NO,70.9821,25.9704,44.35,61,100,4.61,overcast clouds
176,Alugan,PH,12.2188,125.4808,80.78,83,100,7.14,overcast clouds
177,Arlit,NE,18.7369,7.3853,100.36,21,38,4.74,scattered clouds
178,East London,ZA,-33.0153,27.9116,67.48,67,100,11.3,overcast clouds
179,Katsuura,JP,35.1333,140.3,71.56,82,0,11.25,clear sky
180,Chipinge,ZW,-20.1883,32.6236,85.24,20,2,10.56,clear sky
181,Bambous Virieux,MU,-20.3428,57.7575,72.21,71,34,13.82,scattered clouds
182,Patawag,PH,8.1064,122.6208,80.92,84,100,9.13,overcast clouds
183,Bundaberg,AU,-24.85,152.35,63.21,91,14,1.99,few clouds
184,Knysna,ZA,-34.0363,23.0471,65.7,63,61,6.42,broken clouds
185,Trat,TH,12.5,102.5,83.88,94,100,3.02,light rain
186,Tromso,NO,69.6496,18.957,48.38,49,0,12.66,clear sky
187,Codrington,AU,-38.2667,141.9667,45.03,91,0,8.52,clear sky
188,Aitape,PG,-3.1374,142.3475,79.81,83,84,6.53,broken clouds
189,Labytnangi,RU,66.6572,66.4183,30.88,68,88,7.7,overcast clouds
190,Husavik,IS,66.0449,-17.3389,46.63,93,100,18.41,overcast clouds
191,Lompoc,US,34.6391,-120.4579,61.79,97,100,0.0,mist
192,Prince Rupert,CA,54.3161,-130.3201,55.18,87,78,7.54,broken clouds
193,Penzance,GB,50.1186,-5.5371,65.77,88,20,13.8,few clouds
194,Bereda,ES,43.2686,-7.5406,74.14,65,79,4.9,broken clouds
195,Verkhoyansk,RU,67.5447,133.385,22.73,98,100,0.87,overcast clouds
196,Eminabad,PK,32.0422,74.2594,82.85,49,0,7.92,clear sky
197,Iqaluit,CA,63.7506,-68.5145,29.7,86,75,17.0,broken clouds
198,Kaffrine,SN,14.1059,-15.5508,90.5,55,95,5.14,overcast clouds
199,Victoria,HK,22.2855,114.1577,84.38,86,23,18.01,few clouds
200,Lavrentiya,RU,65.5833,-171.0,36.23,78,18,17.81,few clouds
201,Kloulklubed,PW,7.0419,134.2556,79.3,74,96,10.89,overcast clouds
202,San Juan De Uraba,CO,8.7592,-76.5297,80.56,77,100,7.49,overcast clouds
203,Qarqin,AF,37.4185,66.0436,76.84,16,0,13.56,clear sky
204,Parry Sound,CA,45.3501,-80.033,54.28,61,100,7.2,overcast clouds
205,San Patricio,US,28.017,-97.5169,77.92,50,0,8.23,clear sky
206,Emerald,AU,-23.5333,148.1667,62.35,64,59,10.98,broken clouds
207,Hithadhoo,MV,-0.6,73.0833,81.9,72,100,12.82,overcast clouds
208,Ribeira Grande,PT,38.5167,-28.7,73.8,78,75,16.11,broken clouds
209,Antalaha,MG,-14.9003,50.2788,72.95,68,21,9.75,few clouds
210,Zeya,RU,53.75,127.2667,37.29,72,100,6.17,overcast clouds
211,Cidreira,BR,-30.1811,-50.2056,63.48,85,89,11.59,overcast clouds
212,Tuatapere,NZ,-46.1333,167.6833,34.97,93,28,2.95,scattered clouds
213,Yumen,CN,40.2833,97.2,47.57,23,95,17.4,overcast clouds
214,San Jose,US,37.3394,-121.895,60.04,90,75,5.75,broken clouds
215,Luwuk,ID,-0.9516,122.7875,78.22,86,8,0.81,clear sky
216,Naze,JP,28.3667,129.4833,74.53,65,0,4.23,clear sky
217,Villazon,BO,-22.0866,-65.5942,53.71,29,50,5.46,scattered clouds
218,Cooma,AU,-36.2333,149.1333,42.57,93,100,0.0,overcast clouds
219,Corinto,GR,37.9407,22.9573,88.14,41,46,9.98,scattered clouds
220,Bay Roberts,CA,47.5999,-53.2648,62.06,64,2,11.99,clear sky
221,Abha,SA,18.2164,42.5053,70.05,40,40,12.66,scattered clouds
222,Kaitangata,NZ,-46.2817,169.8464,37.06,92,11,2.86,few clouds
223,Vila Velha,BR,-20.3297,-40.2925,75.15,70,75,6.91,broken clouds
224,Berdigestyakh,RU,62.0989,126.6992,24.1,69,26,3.94,scattered clouds
225,Falun,SE,60.6036,15.626,56.95,79,99,6.78,overcast clouds
226,Kachiry,KZ,53.0675,76.1036,37.0,52,45,6.31,scattered clouds
227,Sukabumi,ID,-6.9181,106.9267,72.0,95,82,1.23,broken clouds
228,Luganville,VU,-15.5333,167.1667,77.16,78,18,1.23,few clouds
229,Alexandria,EG,31.2156,29.9553,84.87,61,0,14.54,clear sky
230,Pastos Bons,BR,-6.6017,-44.0767,94.68,22,90,11.39,overcast clouds
231,Aguimes,ES,27.9054,-15.4461,75.67,57,75,25.99,broken clouds
232,Klaksvik,FO,62.2266,-6.589,50.92,86,85,19.01,overcast clouds
233,Sao Gabriel Da Cachoeira,BR,-0.1303,-67.0892,83.12,67,100,4.21,overcast clouds
234,Tiksi,RU,71.6872,128.8694,14.86,94,77,10.4,broken clouds
235,Tazovskiy,RU,67.4667,78.7,29.84,78,98,12.55,overcast clouds
